1474495128 0.225 0.045 0.193 0.032 0.195 0.027 0.195 0.032
1474495651 0.219 0.034 0.198 0.035 0.187 0.034 0.193 0.033
1474496077 0.187 0.025 0.164 0.022 0.183 0.032 0.183 0.022
1474496446 0.201 0.034 0.172 0.026 0.176 0.033 0.184 0.030
1474497011 0.205 0.031 0.198 0.027 0.203 0.034 0.180 0.021
1474497383 0.194 0.033 0.203 0.026 0.216 0.040 0.215 0.027
1474497744 0.229 0.018 0.210 0.024 0.231 0.021 0.230 0.029
1474498091 0.216 0.021 0.208 0.032 0.217 0.021 0.244 0.046
1474498552 0.215 0.025 0.197 0.025 0.213 0.018 0.213 0.022
1474499021 0.230 0.022 0.172 0.024 0.213 0.021 0.260 0.041
1474499364 0.248 0.027 0.173 0.023 0.211 0.020 0.262 0.036
1474499711 0.283 0.025 0.223 0.021 0.234 0.021 0.311 0.053
1474500054 0.264 0.033 0.206 0.027 0.214 0.022 0.253 0.040
1474500413 0.209 0.024 0.171 0.025 0.197 0.027 0.280 0.035
1474500768 0.205 0.033 0.191 0.027 0.251 0.020 0.265 0.033
1474501118 0.223 0.025 0.185 0.023 0.243 0.018 0.262 0.037
